Id,Expected
0,1
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,0
21,1
22,0
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,1
246,0
247,0
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,0
298,1
299,1
300,0
301,0
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,1
316,1
317,0
318,0
319,1
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,0
332,1
333,1
334,1
335,1
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,1
402,0
403,0
404,1
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,1
