Id,Expected
0,3
1,0
2,3
3,1
4,0
5,3
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3
19,0
20,2
21,0
22,1
23,0
24,1
25,0
26,3
27,0
28,1
29,3
30,1
31,0
32,0
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,2
41,1
42,3
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,3
53,0
54,3
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,2
70,0
71,0
72,3
73,0
74,1
75,1
76,0
77,0
78,1
79,3
80,0
81,1
82,0
83,3
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,3
96,1
97,0
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,3
106,1
107,1
108,0
109,0
110,1
111,1
112,0
113,3
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,3
126,0
127,3
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,3
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,3
161,1
162,0
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,2
186,0
187,1
188,0
189,0
190,0
191,3
192,1
193,1
194,0
195,1
196,3
197,0
198,0
199,0
200,1
201,3
202,1
203,0
204,1
205,0
206,0
207,0
208,2
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,3
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,3
241,1
242,1
243,2
244,0
245,0
246,0
247,0
248,0
249,3
250,0
251,1
252,2
253,1
254,0
255,1
256,0
257,3
258,1
259,0
260,2
261,0
262,0
263,3
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,3
296,1
297,1
298,3
299,1
